time,ecg,peak
1757168815280.5925,-68,0
1757168815288.285,-52,0
1757168815295.9773,-32,0
1757168815303.6697,-16,0
1757168815311.362,2,0
1757168815319.0544,18,0
1757168815326.7468,41,0
1757168815334.4392,64,0
1757168815342.1316,87,0
1757168815349.824,108,0
1757168815357.5164,124,0
1757168815365.2087,135,0
1757168815372.9011,135,0
1757168815380.5935,126,0
1757168815388.286,110,0
1757168815395.9783,82,0
1757168815403.6707,50,0
1757168815411.363,13,0
1757168815419.0554,-29,0
1757168815426.7478,-66,0
1757168815434.4402,-96,0
1757168815442.1326,-119,0
1757168815449.825,-135,0
1757168815457.5173,-149,0
1757168815465.2097,-149,0
1757168815472.902,-144,0
1757168815480.5945,-140,0
1757168815488.2869,-137,0
1757168815495.9792,-133,0
1757168815503.6716,-128,0
1757168815511.364,-124,0
1757168815519.0564,-117,0
1757168815526.7488,-108,0
1757168815534.4412,-105,0
1757168815542.1335,-105,0
1757168815549.826,-110,0
1757168815557.5183,-112,0
1757168815565.2107,-98,0
1757168815572.903,-85,0
1757168815580.5955,-82,0
1757168815588.2878,-82,0
1757168815595.9802,-78,0
1757168815603.6726,-73,0
1757168815611.365,-68,0
1757168815619.0574,-66,0
1757168815626.7498,-66,0
1757168815613.7615,-71,0
1757168815621.4539,-71,0
1757168815629.1462,-68,0
1757168815636.8386,-68,0
1757168815644.531,-66,0
1757168815652.2234,-68,0
1757168815659.9158,-73,0
1757168815667.6082,-73,0
1757168815675.3005,-71,0
1757168815682.993,-71,0
1757168815690.6853,-71,0
1757168815698.3777,-82,0
1757168815706.07,-89,0
1757168815713.7625,-78,0
1757168815721.4548,-68,0
1757168815729.1472,-66,0
1757168815736.8396,-64,0
1757168815744.532,-64,0
1757168815752.2244,-64,0
1757168815759.9167,-62,0
1757168815767.6091,-59,0
1757168815775.3015,-57,0
1757168815782.994,-55,0
1757168815790.6863,-50,0
1757168815798.3787,-50,0
1757168815806.071,-48,0
1757168815813.7634,-48,0
1757168815821.4558,-48,0
1757168815829.1482,-48,0
1757168815836.8406,-50,0
1757168815844.533,-48,0
1757168815852.2253,-41,0
1757168815859.9177,-43,0
1757168815867.61,-45,0
1757168815875.3025,-43,0
1757168815882.9949,-41,0
1757168815890.6873,-41,0
1757168815898.3796,-36,0
1757168815906.072,-34,0
1757168815913.7644,-34,0
1757168815921.4568,-34,0
1757168815929.1492,-29,0
1757168815936.8416,-11,0
1757168815944.534,0,0
1757168815952.2263,0,0
1757168815959.9187,2,0
1757168815967.611,2,0
1757168815975.3035,-13,0
1757168815982.9958,-29,0
1757168815990.6882,-34,0
1757168815998.3806,-34,0
1757168816006.073,-34,0
1757168816013.7654,-29,0
1757168816021.4578,-43,0
1757168816029.1501,-105,0
1757168816036.8425,-142,0
1757168816044.535,96,0
1757168816052.2273,698,0
1757168816059.9197,1340,0
1757168816067.612,1542,0
1757168816075.3044,880,0
1757168816082.9968,-177,0
1757168816090.6892,-425,0
1757168816098.3816,-71,0
1757168816106.074,-87,0
1757168816113.7664,-234,0
1757168816121.4587,-149,0
1757168816129.1511,-105,0
1757168816136.8435,-149,0
1757168816144.536,-124,0
1757168816152.2283,-89,0
1757168816159.9207,-91,0
1757168816167.613,-78,0
1757168816161.4177,-55,0
1757168816169.11,-45,0
1757168816176.8025,-36,0
1757168816184.4949,-18,0
1757168816192.1873,2,0
1757168816199.8796,25,0
1757168816207.572,45,0
1757168816215.2644,64,0
1757168816222.9568,78,0
1757168816230.6492,96,0
1757168816238.3416,121,0
1757168816246.034,142,0
1757168816253.7263,149,0
1757168816261.4187,147,0
1757168816269.111,137,0
1757168816276.8035,117,0
1757168816284.4958,94,0
1757168816292.1882,66,0
1757168816299.8806,27,0
1757168816307.573,-20,0
1757168816315.2654,-59,0
1757168816322.9578,-87,0
1757168816330.6501,-108,0
1757168816338.3425,-119,0
1757168816346.035,-131,0
1757168816353.7273,-140,0
1757168816361.4197,-135,0
1757168816369.112,-124,0
1757168816376.8044,-121,0
1757168816384.4968,-117,0
1757168816392.1892,-112,0
1757168816399.8816,-108,0
1757168816407.574,-101,0
1757168816415.2664,-96,0
1757168816422.9587,-89,0
1757168816430.6511,-85,0
1757168816438.3435,-82,0
1757168816446.036,-75,0
1757168816453.7283,-68,0
1757168816461.4207,-62,0
1757168816469.113,-59,0
1757168816476.8054,-59,0
1757168816484.4978,-57,0
1757168816492.1902,-59,0
1757168816499.8826,-59,0
1757168816507.575,-55,0
1757168816515.2673,-50,0
1757168816522.9597,-59,0
1757168816530.652,-73,0
1757168816538.3445,-73,0
1757168816546.0369,-66,0
1757168816553.7292,-62,0
1757168816561.4216,-59,0
1757168816569.114,-57,0
1757168816576.8064,-55,0
1757168816584.4988,-57,0
1757168816592.1912,-57,0
1757168816599.8835,-52,0
1757168816607.576,-48,0
1757168816615.2683,-45,0
1757168816622.9607,-48,0
1757168816630.653,-55,0
1757168816638.3455,-55,0
1757168816646.0378,-50,0
1757168816653.7302,-45,0
1757168816661.4226,-43,0
1757168816669.115,-45,0
1757168816676.8074,-48,0
