time,ppg
1753556293702,94.389677
1753556293735,94.433727
1753556293768,94.458082
1753556293797,93.87136
1753556293830,93.916998
1753556293864,93.930781
1753556293897,94.560134
1753556293930,94.65044
1753556293964,94.640473
1753556293996,93.658344
1753556294033,93.185112
1753556294064,93.053158
1753556294100,93.141908
1753556294133,93.830598
1753556294163,93.951276
1753556294200,94.080437
1753556294235,94.098738
1753556294266,94.005846
1753556294299,93.958268
1753556294334,93.956764
1753556294364,93.990391
1753556294400,94.054896
1753556294432,94.11532
1753556294464,94.129376
1753556294499,94.241499
1753556294532,94.326148
1753556294564,94.278817
1753556294599,94.335985
1753556294633,94.375361
1753556294664,94.40943
1753556294699,94.435198
1753556294733,94.552243
1753556294763,94.530798
1753556294799,94.118992
1753556294833,93.135483
1753556294863,93.038477
1753556294899,93.729816
1753556294934,93.867401
1753556294966,94.597562
1753556295000,94.68005
1753556295034,94.608891
1753556295064,94.595017
1753556295100,94.555453
1753556295134,94.523669
1753556295164,94.518376
1753556295199,94.602602
1753556295233,94.65768
1753556295264,94.709002
1753556295300,94.762967
1753556295331,94.826347
1753556295365,94.868066
1753556295399,94.836464
1753556295433,94.895084
1753556295463,94.876516
1753556295499,94.908007
1753556295532,94.362795
1753556295566,94.269084
1753556295599,93.911152
1753556295630,93.639679
1753556295666,93.542679
1753556295702,93.613103
1753556295733,94.366018
1753556295763,94.448942
1753556295799,94.545589
1753556295830,94.562855
1753556295863,95.093458
1753556295897,95.024844
1753556295929,95.071342
1753556295964,94.814751
1753556295999,94.931992
1753556296030,95.031406
1753556296064,95.122976
1753556296099,95.085228
1753556296129,95.024531
1753556296167,95.100372
1753556296199,95.1117
1753556296230,95.100671
1753556296263,95.180574
1753556296297,94.280347
1753556296328,93.878059
1753556296358,93.744901
1753556296392,93.769367
1753556296426,94.485374
1753556296461,94.582458
1753556296491,94.70729
1753556296533,94.732856
1753556296567,94.642485
1753556296599,94.557269
1753556296630,94.578832
1753556296666,94.553929
1753556296700,94.579984
1753556296733,94.722114
1753556296767,94.764946
1753556296797,94.786092
1753556296833,94.865618
1753556296867,94.928424
1753556296892,94.919641
1753556296926,94.976946
1753556296959,94.987578
1753556296989,94.535596
1753556297031,94.125945
1753556297060,94.155021
1753556297095,94.300438
1753556297132,94.232658
1753556297167,94.401142
1753556297197,94.606729
1753556297232,94.443369
1753556297266,94.421123
1753556297292,94.457868
1753556297324,94.467223
1753556297358,94.443961
1753556297392,94.57376
1753556297428,94.706443
1753556297463,94.698768
1753556297493,94.780832
1753556297531,94.839602
1753556297560,94.843254
1753556297593,94.818957
1753556297623,94.916536
1753556297659,94.99763
1753556297692,94.049864
1753556297724,93.636313
1753556297761,93.452158
1753556297800,93.562452
1753556297833,94.164402
1753556297868,94.347821
1753556297894,95.01931
1753556297927,94.454827
1753556297961,94.40163
1753556297995,94.455172
1753556298027,94.484215
1753556298059,95.062989
1753556298090,95.152052
1753556298124,95.294768
1753556298159,94.682355
1753556298191,94.702433
1753556298225,94.802349
1753556298258,94.81619
1753556298293,94.226753
1753556298327,94.313537
1753556298358,93.736932
1753556298392,94.32982
1753556298422,93.749849
1753556298456,93.582647
1753556298490,93.214806
1753556298523,93.010729
1753556298559,93.567862
1753556298592,93.738918
1753556298621,94.48555
1753556298658,94.51279
1753556298693,94.644464
1753556298723,94.600193
1753556298759,94.440569
1753556298793,94.48501
1753556298825,94.507894
1753556298859,94.573578
1753556298890,94.644854
1753556298924,94.68227
1753556298958,94.780031
1753556298990,94.823944
1753556299022,94.798723
1753556299060,94.852981
1753556299090,94.952057
1753556299123,94.910331
1753556299164,94.95804
1753556299192,95.050795
1753556299226,95.134955
1753556299258,94.97026
1753556299289,94.56626
1753556299323,94.42805
1753556299358,94.421305
1753556299389,94.521312
1753556299423,94.662446
1753556299458,94.903157
1753556299488,94.88871
1753556299521,94.860774
1753556299554,94.812753
1753556299589,94.885637
1753556299622,94.842349
1753556299658,94.963548
1753556299688,95.125691
1753556299722,95.088913
1753556299758,95.183608
1753556299790,95.324625
1753556299822,95.341089
1753556299858,95.37553
1753556299889,94.802876
1753556299928,94.804081
1753556299956,94.24105
1753556299985,94.925514
1753556300022,95.032943
1753556300054,94.914674
1753556300089,94.510023
1753556300122,93.712121
1753556300155,93.783163
1753556300189,94.398362
1753556300222,94.543461
1753556300255,94.727967
1753556300289,94.770741
1753556300321,94.084506
1753556300355,94.124194
1753556300396,94.263302
1753556300424,94.327795
1753556300456,94.401266
1753556300488,94.314943
1753556300520,94.443466
1753556300556,94.472894
1753556300591,94.389684
1753556300622,94.439554
1753556300658,94.536839
1753556300690,94.465289
1753556300722,94.457249
1753556300754,94.633793
1753556300792,94.599301
1753556300824,94.556306
1753556300855,94.733403
1753556300891,94.753416
1753556300921,94.632465
1753556300954,94.295796
1753556300990,94.097299
1753556301021,93.962096
1753556301057,93.955827
1753556301090,94.794348
1753556301120,95.52124
1753556301156,95.479951
1753556301192,94.942408
1753556301220,94.960052
1753556301254,94.864452
1753556301289,94.835155
1753556301321,94.988652
1753556301356,95.078861
1753556301390,95.019753
1753556301423,95.090124
1753556301457,95.213621
1753556301489,95.13877
1753556301519,95.102826
1753556301555,94.580505
1753556301587,94.592074
1753556301619,94.465459
1753556301655,94.584607
1753556301689,94.675994
1753556301722,94.600225
1753556301753,94.710343
1753556301787,94.838183
1753556301822,94.795168
1753556301854,93.924062
1753556301887,93.59212
1753556301922,93.56333
1753556301952,93.495674
1753556301986,93.618311
1753556302030,94.340451
1753556302055,94.379527
1753556302089,94.954004
1753556302122,94.370627
1753556302152,94.327802
1753556302188,94.314078
1753556302221,94.340425
1753556302254,95.040196
1753556302287,95.098301
1753556302322,95.058815
1753556302351,94.509476
1753556302385,94.60682
1753556302418,94.505439
1753556302454,94.524841
1753556302485,94.622413
1753556302517,94.574307
1753556302552,94.584802
1753556302589,94.691326
1753556302622,94.630571
1753556302652,94.667765
1753556302688,94.804439
1753556302722,94.743826
1753556302754,94.052565
1753556302788,93.74425
1753556302830,93.529789
1753556302855,94.059779
1753556302883,94.200542
1753556302916,94.280555
1753556302950,94.390452
1753556302987,94.392783
1753556303019,94.350399
1753556303054,94.337808
1753556303087,94.271551
1753556303122,94.320022
1753556303154,94.413649
1753556303187,94.413896
1753556303221,94.460524
1753556303252,94.599073
1753556303285,94.578005
1753556303331,94.533949
1753556303354,94.636502
1753556303387,94.65574
1753556303420,94.590583
1753556303451,94.740155
1753556303493,94.745116
1753556303520,94.701359
1753556303550,94.806392
1753556303584,94.8447
1753556303620,94.584789
1753556303651,93.714907
1753556303686,93.53458
1753556303721,93.547842
1753556303761,93.714796
1753556303784,94.274767
1753556303816,94.373316
1753556303851,95.023294
1753556303886,94.320269
1753556303920,94.292118
1753556303950,94.365263
1753556303987,94.322789
1753556304019,94.967975
1753556304051,95.136778
1753556304086,95.123914
1753556304120,94.482008
1753556304151,94.544841
1753556304188,94.592256
1753556304220,94.55934
1753556304250,94.632628
1753556304286,94.162429
1753556304320,94.106277
1753556304351,94.094109
1753556304393,94.217072
1753556304418,94.204546
1753556304451,94.230132
1753556304486,94.225386
1753556304518,93.783872
1753556304550,93.38803
1753556304583,93.337528
1753556304618,94.044987
1753556304651,94.679295
1753556304686,94.697478
1753556304720,94.830051
1753556304750,94.831379
1753556304787,94.68658
1753556304818,94.726756
1753556304848,94.169532
1753556304884,94.159786
1753556304916,94.227547
1753556304949,94.926048
1753556304984,94.95222
1753556305018,94.948613
1753556305050,94.346226
1753556305084,94.413818
1753556305119,94.439098
1753556305151,94.458538
1753556305186,94.539841
1753556305217,94.556833
1753556305250,94.589366
1753556305286,94.532836
1753556305320,94.617192
1753556305348,94.748429
1753556305393,94.432171
1753556305417,94.103894
1753556305450,93.945755
1753556305485,93.215718
1753556305517,93.298127
1753556305553,93.877948
1753556305587,94.547015
1753556305618,94.579301
1753556305659,93.954524
1753556305682,93.990482
1753556305716,93.998665
1753556305753,93.979739
1753556305786,94.039779
1753556305821,94.183543
1753556305848,94.238784
1753556305888,94.185177
1753556305918,94.294312
1753556305958,94.33385
1753556305984,94.292437
1753556306018,94.339227
1753556306057,94.410979
1753556306084,94.334709
1753556306122,94.429443
1753556306153,94.478766
1753556306184,94.440947
1753556306218,94.564385
1753556306252,94.532087
1753556306281,94.619665
1753556306318,94.48042
1753556306352,94.027702
1753556306384,93.798221
1753556306417,93.801464
1753556306451,93.89067
1753556306481,93.96095
1753556306516,94.080534
1753556306550,94.159226
1753556306581,94.105385
1753556306617,94.107397
1753556306653,94.066563
1753556306685,94.11797
1753556306793,94.176284
1753556306816,94.24967
1753556306832,94.351402
1753556306848,94.285887
1753556306878,94.351851
1753556306915,94.392737
1753556306950,94.376786
1753556306982,94.409957
1753556307016,94.486937
1753556307048,94.507972
1753556307081,94.479489
1753556307116,94.636606
1753556307148,94.69434
1753556307184,94.45611
1753556307219,94.139617
1753556307250,93.988301
1753556307282,93.929511
1753556307320,94.04252
1753556307350,94.168243
1753556307382,94.257384
1753556307416,94.244539
1753556307447,94.285015
1753556307479,94.283283
1753556307513,94.206121
